"selection1_batsmen_name","selection1_batsmen_Out_NotOut","selection1_batsmen_Runs","selection1_batsmen_Balls","selection1_batsmen_Fours","selection1_batsmen_Sixes","selection1_batsmen_Strike_Rate","selection1_batsmen_Team","selection1_batsmen_Match_No"
"Sikandar Raza","c Agarwal b Umran Malik","5","6","0","0","83.33","Punjab Kings","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League"
"M Shahrukh Khan","lbw b Markande","4","3","1","0","133.33","Punjab Kings","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League"
"Harpreet Brar","b Umran Malik","1","2","0","0","50.00","Punjab Kings","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League"
"Rahul Chahar","lbw b Markande","0","8","0","0","0.00","Punjab Kings","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League"
"Nathan Ellis","b Markande","0","5","0","0","0.00","Punjab Kings","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League"
"Mohit Rathee","not out","1","2","0","0","50.00","Punjab Kings","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League"
"Arshdeep Singh","","Did not bat:","","","","","",""
"Harry Brook","b Arshdeep Singh","13","14","3","0","92.85","Sunrisers Hyderabad","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League"
"Mayank Agarwal","c Curran b Chahar","21","20","3","0","105.00","Sunrisers Hyderabad","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League"
"Rahul Tripathi","not out","74","48","10","3","154.16","Sunrisers Hyderabad","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League"
"Aiden Markram (c)","not out","37","21","6","0","176.19","Sunrisers Hyderabad","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League"
"Heinrich Klaasen †,","","Did not bat:","","","","","",""
"Washington Sundar,","","Did not bat:","","","","","",""
"Marco Jansen,","","Did not bat:","","","","","",""
"Mayank Markande,","","Did not bat:","","","","","",""
"Bhuvneshwar Kumar,","","Did not bat:","","","","","",""
"Umran Malik,","","Did not bat:","","","","","",""
"T Natarajan","","Did not bat:","","","","","",""
"Virat Kohli","c Stoinis b Mishra","61","44","4","4","138.63","Royal Challengers Bangalore","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Faf du Plessis (c)","not out","79","46","5","5","171.73","Royal Challengers Bangalore","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Glenn Maxwell","b Wood","59","29","3","6","203.44","Royal Challengers Bangalore","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Dinesh Karthik †","not out","1","1","0","0","100.00","Royal Challengers Bangalore","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Mahipal Lomror,","","Did not bat:","","","","","",""
"Shahbaz Ahmed,","","Did not bat:","","","","","",""
"David Willey,","","Did not bat:","","","","","",""
"Wayne Parnell,","","Did not bat:","","","","","",""
"Harshal Patel,","","Did not bat:","","","","","",""
"Mohammed Siraj,","","Did not bat:","","","","","",""
"Karn Sharma","","Did not bat:","","","","","",""
"Kyle Mayers","b Mohammed Siraj","0","3","0","0","0.00","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"KL Rahul (c)","c Kohli b Mohammed Siraj","18","20","1","0","90.00","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Deepak Hooda","c †Karthik b Parnell","9","10","1","0","90.00","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Krunal Pandya","c †Karthik b Parnell","0","2","0","0","0.00","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Marcus Stoinis","c Shahbaz Ahmed b Sharma","65","30","6","5","216.66","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Nicholas Pooran †","c Shahbaz Ahmed b Mohammed Siraj","62","19","4","7","326.31","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Ayush Badoni","hit wicket b Parnell","30","24","4","0","125.00","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Jaydev Unadkat","c du Plessis b Patel","9","7","1","0","128.57","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Mark Wood","b Patel","1","2","0","0","50.00","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Ravi Bishnoi","not out","3","2","0","0","150.00","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"Avesh Khan","not out","0","1","0","0","0.00","Lucknow Super Giants","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League"
"David Warner (c)","c Meredith b Behrendorff","51","47","6","0","108.51","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Prithvi Shaw","c Green b Shokeen","15","10","3","0","150.00","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Manish Pandey","c Behrendorff b Chawla","26","18","5","0","144.44","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Yash Dhull","c Wadhera b Meredith","2","4","0","0","50.00","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Rovman Powell","lbw b Chawla","4","4","1","0","100.00","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Lalit Yadav","b Chawla","2","4","0","0","50.00","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Axar Patel","c Arshad Khan b Behrendorff","54","25","4","5","216.00","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Abishek Porel †","c Green b Behrendorff","1","3","0","0","33.33","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Kuldeep Yadav","run out (Wadhera)","0","1","0","0","0.00","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Anrich Nortje","b Meredith","5","3","1","0","166.66","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Mustafizur Rahman","not out","1","1","0","0","100.00","Delhi Capitals","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Rohit Sharma (c)","c †Abishek Porel b Mustafizur Rahman","65","45","6","4","144.44","Mumbai Indians","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Ishan Kishan †","run out (Mukesh Kumar/Lalit Yadav)","31","26","6","0","119.23","Mumbai Indians","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Tilak Varma","c Pandey b Mukesh Kumar","41","29","1","4","141.37","Mumbai Indians","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Suryakumar Yadav","c Kuldeep Yadav b Mukesh Kumar","0","1","0","0","0.00","Mumbai Indians","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Tim David","not out","13","11","0","1","118.18","Mumbai Indians","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Cameron Green","not out","17","8","1","1","212.50","Mumbai Indians","16th Match (N), Delhi, April 11, 2023,
Indian Premier League"
"Nehal Wadhera,","","Did not bat:","","","","","",""
"Hrithik Shokeen,","","Did not bat:","","","","","",""
"Arshad Khan,","","Did not bat:","","","","","",""
"Jason Behrendorff,","","Did not bat:","","","","","",""
"Piyush Chawla","","Did not bat:","","","","","",""
"Yashasvi Jaiswal","c Dube b Deshpande","10","8","2","0","125.00","Rajasthan Royals","17th Match (N), Chennai, April 12, 2023,
Indian Premier League"
"Jos Buttler","b Ali","52","36","1","3","144.44","Rajasthan Royals","17th Match (N), Chennai, April 12, 2023,
Indian Premier League"
"Devdutt Padikkal","c Conway b Jadeja","38","26","5","0","146.15","Rajasthan Royals","17th Match (N), Chennai, April 12, 2023,
Indian Premier League"
"Sanju Samson (c)†","b Jadeja","0","2","0","0","0.00","Rajasthan Royals","17th Match (N), Chennai, April 12, 2023,
Indian Premier League"
"Ravichandran Ashwin","c Magala b Akash Singh","30","22","1","2","136.36","Rajasthan Royals","17th Match (N), Chennai, April 12, 2023,
Indian Premier League"
"Shimron Hetmyer","not out","30","18","2","2","166.66","Rajasthan Royals","17th Match (N), Chennai, April 12, 2023,
Indian Premier League"
"Dhruv Jurel","c Dube b Akash Singh","4","6","0","0","66.66","Rajasthan Royals","17th Match (N), Chennai, April 12, 2023,
Indian Premier League"
"Jason Holder","c Conway b Deshpande","0","1","0","0","0.00","Rajasthan Royals","17th Match (N), Chennai, April 12, 2023,
Indian Premier League"
"Adam Zampa","run out (Theekshana/†Dhoni)","1","1","0","0","100.00","Rajasthan Royals","17th Match (N), Chennai, April 12, 2023,
Indian Premier League"
"Kuldeep Sen,","","Did not bat:","","","","","",""
